Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
110006064,441314,445236,3,05-Jan-11,1725,A(M),Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,23,Car
110006064,441314,445236,3,05-Jan-11,1725,A(M),Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,25,Car
110006135,441352,433590,2,05-Jan-11,555,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,35,Pedal cycle
110006310,428061,435959,2,05-Jan-11,1715,A,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Male,20,Pedal cycle
110008121,420517,445562,1,05-Jan-11,1955,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,14,Car
110015623,431887,435594,2,05-Jan-11,1720,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,39,Pedal cycle
110007912,429273,434107,2,06-Jan-11,1445,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Car
110008116,429622,428098,2,06-Jan-11,1825,Unclassified,Wet / Damp,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Male,49,Pedal cycle
110008160,423279,434853,3,06-Jan-11,1840,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,30,Car
110008160,423279,434853,3,06-Jan-11,1840,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Male,20,Car
110008160,423279,434853,3,06-Jan-11,1840,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,20,Car
110008160,423279,434853,3,06-Jan-11,1840,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car
110008750,432262,426178,2,06-Jan-11,1800,Motorway,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Driver,Slight,Female,37,Car
110032960,443267,444441,2,06-Jan-11,905,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,Car
110008291,430113,431739,2,07-Jan-11,800,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,40,Motorcycle over 50cc and up to 125cc
110008561,422207,433023,2,07-Jan-11,1023,Unclassified,Snow,Daylight: street lights present,Other,Driver,Slight,Male,85,Car
110008742,443101,445047,2,07-Jan-11,1240,Unclassified,Snow,Daylight: street lights present,Snowing without high winds,Driver,Slight,Female,49,Car
110008742,443101,445047,2,07-Jan-11,1240,Unclassified,Snow,Daylight: street lights present,Snowing without high winds,Driver,Slight,Female,28,Car
110008889,439677,448617,2,07-Jan-11,1057,A,Snow,Daylight: street lights present,Snowing without high winds,Driver,Slight,Female,66,Car
110008889,439677,448617,2,07-Jan-11,1057,A,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Serious,Female,66,Car
110009105,445379,431778,1,07-Jan-11,1355,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,59,Car
110009305,432798,435611,3,07-Jan-11,1900,Unclassified,Frost / Ice,Darkness: street lighting unknown,Fine without high winds,Passenger,Serious,Female,31,Car
110009463,432063,426310,1,07-Jan-11,2210,Motorway,Frost / Ice,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,18,Car
110010555,431964,438329,1,07-Jan-11,1100,Unclassified,Snow,Daylight: street lights present,Snowing without high winds,Pedestrian,Slight,Male,55,Goods vehicle 3.5 tonnes mgw and under
110026752,432126,434878,2,07-Jan-11,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car
110010086,426295,435737,1,08-Jan-11,1152,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,78,Car
110010537,430403,430991,2,08-Jan-11,1710,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,18,Car
110010537,430403,430991,2,08-Jan-11,1710,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,34,Car
110010918,429817,430673,1,08-Jan-11,2130,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,27,Car
110038907,431967,430302,2,08-Jan-11,1200,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,57,Car
110038907,431967,430302,2,08-Jan-11,1200,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,54,Car
110038907,431967,430302,2,08-Jan-11,1200,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,25,Car
110010963,440340,434660,1,09-Jan-11,305,Unclassified,Frost / Ice,Darkness: street lighting unknown,Other,Driver,Slight,Male,56,Car
110010963,440340,434660,1,09-Jan-11,305,Unclassified,Frost / Ice,Darkness: street lighting unknown,Other,Passenger,Slight,Male,50,Car
110011088,424774,427408,1,09-Jan-11,533,Motorway,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,29,Car
110011539,433886,425848,2,09-Jan-11,1420,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car
110011913,429376,433738,1,09-Jan-11,525,A(M),Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,24,Car
110012346,430782,438584,1,10-Jan-11,715,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,41,Car
110012349,420796,436997,2,10-Jan-11,810,Unclassified,Frost / Ice,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,32,Car
110012349,420796,436997,2,10-Jan-11,810,Unclassified,Frost / Ice,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,32,Car
110012416,434855,428424,1,10-Jan-11,850,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,44,Motorcycle over 50cc and up to 125cc
110012426,426363,429208,4,10-Jan-11,928,Unclassified,Frost / Ice,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,46,Car
110012426,426363,429208,4,10-Jan-11,928,Unclassified,Frost / Ice,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,32,Car
110012454,428275,435650,2,10-Jan-11,900,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,40,Goods vehicle 7.5 tonnes mgw and over
110012455,428803,435607,4,10-Jan-11,905,Unclassified,Frost / Ice,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,16,Car
110012735,422052,433009,4,10-Jan-11,802,Unclassified,Dry,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,20,Car
110012735,422052,433009,4,10-Jan-11,802,Unclassified,Dry,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,20,Car
110012784,427066,433421,3,10-Jan-11,820,Unclassified,Frost / Ice,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,12,Car
110012784,427066,433421,3,10-Jan-11,820,Unclassified,Frost / Ice,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,13,Car
110013200,426346,433156,2,10-Jan-11,745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,34,Car
110013331,429591,434714,2,10-Jan-11,1400,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Pedal cycle
110013553,433310,425883,11,10-Jan-11,1740,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,35,Car
110013553,433310,425883,11,10-Jan-11,1740,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,54,Car
110013553,433310,425883,11,10-Jan-11,1740,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,24,Car
110014351,434511,425885,1,11-Jan-11,720,Motorway,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Fatal,Male,20,Goods vehicle 7.5 tonnes mgw and over
110014919,434054,433752,1,11-Jan-11,905,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
110015213,430141,436612,3,11-Jan-11,1715,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,52,Car
110015213,430141,436612,3,11-Jan-11,1715,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,51,Car
110016014,443330,439205,2,12-Jan-11,712,A(M),Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Driver,Slight,Male,62,Car
110016024,425059,433371,2,12-Jan-11,830,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,39,Car
110016533,420683,434373,1,12-Jan-11,1215,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,66,Car
110017112,431097,433000,1,12-Jan-11,1735,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,39,Goods vehicle 3.5 tonnes mgw and under
110020375,429523,433820,2,12-Jan-11,1230,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car
110017709,427893,434624,2,13-Jan-11,755,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Pedal cycle
110017956,421253,440320,1,13-Jan-11,808,B,Wet / Damp,Darkness: street lights present but unlit,Fine without high winds,Pedestrian,Serious,Female,11,Car
110018244,432494,433751,4,13-Jan-11,900,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,61,Car
110018638,428108,432802,2,13-Jan-11,755,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,30,Car
110018805,420539,440258,2,13-Jan-11,1635,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,Pedal cycle
11001889,428370,431571,3,13-Jan-11,1407,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,3,Car
110018909,430472,435630,2,13-Jan-11,750,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Bus or coach (17 or more passenger seats)
110019019,428427,434017,2,13-Jan-11,1940,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,26,Car
110019019,428427,434017,2,13-Jan-11,1940,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,30,Car
110023086,430711,433060,2,13-Jan-11,1800,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,22,Car
110020024,433155,426320,1,14-Jan-11,920,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,13,Car
110020351,427496,431324,3,14-Jan-11,1025,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,66,Car
110020351,427496,431324,3,14-Jan-11,1025,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Car
110020351,427496,431324,3,14-Jan-11,1025,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Car
110020351,427496,431324,3,14-Jan-11,1025,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,30,Car
110020394,440364,432921,1,14-Jan-11,1450,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,41,Car
110028318,428420,428769,2,14-Jan-11,1350,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,Car
110028318,428420,428769,2,14-Jan-11,1350,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,40,Car
110022044,443555,431677,2,15-Jan-11,1513,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver,Slight,Male,56,Goods vehicle 3.5 tonnes mgw and under
110022353,419921,441043,2,15-Jan-11,1750,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,41,Car
110022391,423699,434572,2,15-Jan-11,1725,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,58,Car
110022391,423699,434572,2,15-Jan-11,1725,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,78,Car
110022391,423699,434572,2,15-Jan-11,1725,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,49,Car
110023466,433877,434054,2,15-Jan-11,1938,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Driver,Slight,Male,35,Car
110022731,438120,445841,1,16-Jan-11,105,A,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,35,Car
110022813,431401,433650,1,16-Jan-11,100,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,53,Car
110023728,431329,424958,3,16-Jan-11,1920,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,19,Car
110025643,430308,433901,1,16-Jan-11,1715,Unclassified,Wet / Damp,Darkness: street lighting unknown,Unknown,Pedestrian,Slight,Male,20,Car
110037801,428556,432730,2,16-Jan-11,1250,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car
110024867,424194,438765,2,17-Jan-11,1145,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,18,Car
110024867,424194,438765,2,17-Jan-11,1145,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,18,Car
110024990,429560,431576,1,17-Jan-11,1345,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,Car
110024990,429560,431576,1,17-Jan-11,1345,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,64,Car
110025535,436287,428304,1,17-Jan-11,1555,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
110028315,432430,434850,2,17-Jan-11,1715,B,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,19,Car
110026365,438484,427254,2,18-Jan-11,750,A,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,51,Car
110026365,438484,427254,2,18-Jan-11,750,A,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,10,Car
110026370,438787,426990,1,18-Jan-11,900,A,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,33,Car
110027045,422224,433798,1,18-Jan-11,800,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,15,Minibus (8 – 16 passenger seats)
110027045,422224,433798,1,18-Jan-11,800,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,15,Minibus (8 – 16 passenger seats)
110027286,430361,433450,1,18-Jan-11,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,52,Bus or coach (17 or more passenger seats)
110027286,430361,433450,1,18-Jan-11,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Bus or coach (17 or more passenger seats)
110027443,433070,434009,2,18-Jan-11,1700,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,18,Pedal cycle
110036783,430733,439260,1,18-Jan-11,2035,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,56,Car
110038941,432028,435899,2,18-Jan-11,1640,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,50,Motorcycle over 500cc
110028022,433906,434112,2,19-Jan-11,755,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,58,Pedal cycle
110028309,421464,445813,2,19-Jan-11,1000,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,44,Car
110028491,437041,425878,3,19-Jan-11,1005,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Goods vehicle 3.5 tonnes mgw and under
110030967,428112,426277,3,19-Jan-11,1830,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,35,Car
110086398,433158,435250,2,19-Jan-11,1115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,54,Car
110030056,427812,434421,2,20-Jan-11,850,A,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,43,Pedal cycle
110030544,426988,427908,2,20-Jan-11,1025,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,44,Bus or coach (17 or more passenger seats)
110030544,426988,427908,2,20-Jan-11,1025,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,51,Bus or coach (17 or more passenger seats)
110031207,427458,437284,2,20-Jan-11,1650,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,39,Car
110031207,427458,437284,2,20-Jan-11,1650,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,39,Car
110031207,427458,437284,2,20-Jan-11,1650,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,31,Car
110031656,431188,434979,2,21-Jan-11,35,A,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,35,Car
110032985,429282,433481,2,21-Jan-11,1640,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,21,Car
110032985,429282,433481,2,21-Jan-11,1640,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Car
110032985,429282,433481,2,21-Jan-11,1640,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,12,Car
110032985,429282,433481,2,21-Jan-11,1640,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,27,Car
110033003,424413,434459,2,21-Jan-11,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,21,Car
110033003,424413,434459,2,21-Jan-11,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,22,Car
110033203,430041,432184,1,21-Jan-11,2039,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,25,Car
110034884,427690,436573,1,21-Jan-11,2240,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,22,Bus or coach (17 or more passenger seats)
110038884,431402,435025,2,21-Jan-11,1358,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,44,Car
110033519,429913,430965,2,22-Jan-11,13,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,21,Car
110033519,429913,430965,2,22-Jan-11,13,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,19,Car
110033519,429913,430965,2,22-Jan-11,13,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,21,Car
110034797,430901,435546,2,22-Jan-11,2125,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,45,Taxi/Private hire car
110036601,430100,431513,2,22-Jan-11,1635,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Motorcycle over 125cc and up to 500cc
110047373,430424,433976,3,22-Jan-11,2250,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,26,Taxi/Private hire car
110047775,429992,434071,1,22-Jan-11,1400,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,12,Car
110134619,427973,431072,1,22-Jan-11,2310,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,28,Car
110134619,427973,431072,1,22-Jan-11,2310,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,35,Car
110036001,432497,433611,2,23-Jan-11,1945,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,30,Car
110036827,431617,435267,1,24-Jan-11,820,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,11,Car
110037812,431775,435545,2,24-Jan-11,1515,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,53,Car
110037857,420775,434390,3,24-Jan-11,1725,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,19,Car
110037857,420775,434390,3,24-Jan-11,1725,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,43,Car
110037857,420775,434390,3,24-Jan-11,1725,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,19,Car
110037857,420775,434390,3,24-Jan-11,1725,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,13,Car
110039417,424376,435296,2,24-Jan-11,1855,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,41,Car
110038178,430175,434113,1,25-Jan-11,45,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,20,Car
110039678,433138,434005,1,25-Jan-11,1820,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,22,Motorcycle over 125cc and up to 500cc
110039953,429617,434645,2,25-Jan-11,2255,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24,Car
110039967,424032,442013,1,25-Jan-11,2126,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Serious,Male,18,Car
110039967,424032,442013,1,25-Jan-11,2126,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Serious,Male,19,Car
110039967,424032,442013,1,25-Jan-11,2126,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Fatal,Male,18,Car
110040606,426592,431736,2,25-Jan-11,1815,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,19,Pedal cycle
110040370,433299,429978,3,26-Jan-11,831,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Car
110040370,433299,429978,3,26-Jan-11,831,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car
110041120,427452,434601,2,26-Jan-11,845,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28,Motorcycle over 500cc
110041698,426422,432040,1,26-Jan-11,1700,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Serious,Male,17,Car
110041743,426065,436365,1,26-Jan-11,1525,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,11,Car
110041760,431883,435241,2,26-Jan-11,1829,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24,Car
110041760,431883,435241,2,26-Jan-11,1829,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,25,Car
110048908,442961,445660,2,26-Jan-11,1845,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24,Motorcycle over 50cc and up to 125cc
110042345,424173,434735,2,27-Jan-11,853,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,35,Car
110042345,424173,434735,2,27-Jan-11,853,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car
110042973,431660,426464,2,27-Jan-11,850,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,45,Car
110043085,427992,435197,3,27-Jan-11,1033,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Car
110043085,427992,435197,3,27-Jan-11,1033,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,35,Car
110043220,429746,437053,3,27-Jan-11,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Car
110043437,420882,434556,2,27-Jan-11,1640,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car
110043438,421076,435274,3,27-Jan-11,1714,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,36,Car
110043438,421076,435274,3,27-Jan-11,1714,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,49,Car
