Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,,Casualty Severity,Sex of Casualty,Age of Casualty,
0AB1477,425435,426520,2,11-Oct-13,1530,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,46,Car
0AF0559,429793,432118,3,15-Oct-13,1215,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,19,Car
0AF0559,429793,432118,3,15-Oct-13,1215,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,19,Car
0AF0559,429793,432118,3,15-Oct-13,1215,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,43,Goods vehicle 3.5 tonnes mgw and under
0AG0289,429139,431822,3,16-Oct-13,825,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,61,Car
0AJ1683,430015,432122,1,19-Oct-13,2015,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,2,Passenger,Slight,Female,23,Car
0AM0676,432244,426028,2,22-Oct-13,1240,Motorway,Wet / Damp,Daylight: street lights present,Other,1,Driver,Fatal,Male,65,Car
0AM0676,432244,426028,2,22-Oct-13,1240,Motorway,Wet / Damp,Daylight: street lights present,Other,2,Passenger,Serious,Female,67,Car
0AM0676,432244,426028,2,22-Oct-13,1240,Motorway,Wet / Damp,Daylight: street lights present,Other,1,Driver,Slight,Male,28,Goods vehicle 3.5 tonnes mgw and under
0AP0717,429951,432118,2,25-Oct-13,745,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,38,Motorcycle over 500cc
0AR0889,429185,431932,2,27-Oct-13,1147,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,1,Driver,Slight,Female,27,Car
0BB1414,430678,430577,2,11-Nov-13,1805,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,55,Car
0BD0401,424090,428088,3,13-Nov-13,1018,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,41,Car
0BD0401,424090,428088,3,13-Nov-13,1018,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,30,Car
0C61050,430391,424216,3,06-Dec-13,2126,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,58,Car
0C61050,430391,424216,3,06-Dec-13,2126,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,28,Car
0C90374,432294,426168,2,09-Dec-13,945,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,34,Goods vehicle 3.5 tonnes mgw and under
0CD1149,430693,424510,2,13-Dec-13,1700,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Male,34,Car
0CJ0503,434891,425881,4,19-Dec-13,1135,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,28,Car
0CJ0503,434891,425881,4,19-Dec-13,1135,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,41,Car
0CK0961,429848,432292,3,20-Dec-13,1515,Motorway,Wet / Damp,Daylight: street lights present,Raining with high winds,1,Driver,Slight,Male,59,Car
0CL0053,431849,430432,1,21-Dec-13,15,Motorway,Wet / Damp,Darkness: street lights present and lit,Other,1,Driver,Serious,Male,44,Car
0CU1531,430547,431510,1,30-Dec-13,2327,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,38,Car
0CU1531,430547,431510,1,30-Dec-13,2327,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,35,Car
0CU1531,430547,431510,1,30-Dec-13,2327,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Serious,Female,33,Car
0CU1531,430547,431510,1,30-Dec-13,2327,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,30,Car
130000155,431914,432891,1,01-Jan-13,105,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,19,Taxi/Private hire car
130000503,434299,433794,1,01-Jan-13,938,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,27,Car
130000503,434299,433794,1,01-Jan-13,938,A,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Serious,Male,28,Car
130000846,427131,431591,1,01-Jan-13,1518,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Serious,Male,26,Car
130000846,427131,431591,1,01-Jan-13,1518,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Serious,Male,17,Car
130000846,427131,431591,1,01-Jan-13,1518,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Serious,Male,27,Car
130002193,431940,435674,1,02-Jan-13,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,28,Car
130002211,430894,433377,2,02-Jan-13,1600,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,20,Car
130002813,431827,441776,2,03-Jan-13,520,A,Wet / Damp,Darkness: no street lighting,Raining without high winds,1,Driver,Slight,Male,45,Car
130002813,431827,441776,2,03-Jan-13,520,A,Wet / Damp,Darkness: no street lighting,Raining without high winds,1,Driver,Slight,Male,48,Car
130003232,435312,435027,1,02-Jan-13,1414,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Female,7,Car
130003700,431346,435145,2,03-Jan-13,1700,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Male,48,Pedal cycle
130003864,432732,430406,3,03-Jan-13,1702,B,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,22,Car
130004013,435102,433493,2,03-Jan-13,1928,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,31,Car
130004392,427367,431028,2,04-Jan-13,700,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Serious,Male,27,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
130004690,435001,438398,2,04-Jan-13,1140,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,79,Car
130004690,435001,438398,2,04-Jan-13,1140,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,49,Goods vehicle 3.5 tonnes mgw and under
130004690,435001,438398,2,04-Jan-13,1140,A,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,81,Car
130004706,427192,439170,2,04-Jan-13,950,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,37,Car
130005099,424460,439070,2,04-Jan-13,1417,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,67,Goods vehicle 3.5 tonnes mgw and under
130005175,424232,428230,2,04-Jan-13,1520,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,35,Car
130005214,420808,434738,1,04-Jan-13,1405,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Serious,Female,83,Bus or coach (17 or more passenger seats)
130006917,433461,428999,2,05-Jan-13,1737,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Fatal,Male,17,Motorcycle over 500cc
130007118,428097,434518,2,06-Jan-13,125,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,33,Car
130007577,420484,434298,3,06-Jan-13,1230,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,75,Car
130007710,440607,432088,4,06-Jan-13,1345,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,26,Motorcycle over 500cc
130007710,440607,432088,4,06-Jan-13,1345,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,31,Motorcycle over 500cc
130007898,429154,429904,2,06-Jan-13,1730,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,20,M/cycle 50cc and under
130008735,431626,434446,1,07-Jan-13,1021,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,26,Car
130008751,420402,434121,2,07-Jan-13,955,B,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,34,Pedal cycle
130009333,426898,435691,2,07-Jan-13,1300,B,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,20,Pedal cycle
130009691,429969,423861,3,07-Jan-13,1732,Motorway,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,26,Car
130009692,427024,431642,2,07-Jan-13,1730,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Serious,Male,38,Pedal cycle
130009714,432808,425995,2,07-Jan-13,1740,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,33,Car
130009868,428381,432522,2,07-Jan-13,2200,A,Dry,Darkness: street lights present but unlit,Fine without high winds,1,Driver,Slight,Male,23,Pedal cycle
130010135,431321,428469,2,08-Jan-13,635,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,38,Motorcycle over 50cc and up to 125cc
130010159,430003,438577,2,06-Jan-13,1100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,49,Minibus (8 – 16 passenger seats)
130010563,425826,438087,4,08-Jan-13,840,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,44,Car
130010801,433137,433315,2,08-Jan-13,1250,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,30,Motorcycle over 50cc and up to 125cc
130010974,430742,435470,1,08-Jan-13,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Female,30,Taxi/Private hire car
130011028,423018,437654,2,07-Jan-13,700,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,37,Pedal cycle
130011110,426946,435422,2,08-Jan-13,1725,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,45,Car
130011110,426946,435422,2,08-Jan-13,1725,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,9,Car
130011110,426946,435422,2,08-Jan-13,1725,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Female,7,Car
130011249,429694,432311,2,08-Jan-13,1822,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,23,Car
130011680,431874,435944,2,09-Jan-13,645,B,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,21,Pedal cycle
130011714,422183,428749,2,09-Jan-13,725,B,Wet / Damp,Darkness: street lights present but unlit,Fine without high winds,1,Driver,Serious,Male,52,Motorcycle over 500cc
130011841,434559,434440,2,09-Jan-13,730,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,29,Pedal cycle
130011867,419494,437015,3,09-Jan-13,810,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,30,Car
130011867,419494,437015,3,09-Jan-13,810,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,56,Car
130012290,434960,433393,1,09-Jan-13,1310,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,72,Car
130012331,439471,446163,1,09-Jan-13,1250,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,49,Motorcycle over 50cc and up to 125cc
130012588,430496,425026,1,09-Jan-13,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,55,Car
130012756,431884,435154,2,09-Jan-13,1743,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,41,Car
130012828,431983,435510,2,09-Jan-13,1816,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,35,Car
130012900,430266,433985,2,09-Jan-13,1800,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,52,Motorcycle over 50cc and up to 125cc
130012940,427034,432971,2,09-Jan-13,1711,Unclassified,Dry,Darkness: street lights present but unlit,Fine without high winds,2,Passenger,Slight,Male,19,Taxi/Private hire car
130012940,427034,432971,2,09-Jan-13,1711,Unclassified,Dry,Darkness: street lights present but unlit,Fine without high winds,2,Passenger,Slight,Male,20,Taxi/Private hire car
130013133,425321,443091,1,09-Jan-13,2005,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,18,Car
130013133,425321,443091,1,09-Jan-13,2005,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Serious,Male,18,Car
130013282,431869,435685,1,09-Jan-13,1035,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,16,Car
130013285,428947,429853,1,08-Jan-13,1010,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,75,Car
130013323,430235,433212,3,10-Jan-13,54,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,24,Car
130013323,430235,433212,3,10-Jan-13,54,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,23,Car
130013458,431357,431611,1,08-Jan-13,1230,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,23,Car
130013524,424857,434439,1,10-Jan-13,750,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Female,21,Car
130013620,427573,434535,2,08-Jan-13,1035,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,77,Car
130014413,428390,429594,1,10-Jan-13,1805,A,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,30,Car
130014438,439405,432653,2,10-Jan-13,1825,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,15,Car
130014550,431748,435495,1,10-Jan-13,2111,A,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,13,Bus or coach (17 or more passenger seats)
130014771,425107,433759,2,10-Jan-13,2310,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,49,Car
130014771,425107,433759,2,10-Jan-13,2310,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,42,Car
130014771,425107,433759,2,10-Jan-13,2310,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,32,Car
130014771,425107,433759,2,10-Jan-13,2310,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,30,Car
130014783,430022,435532,2,10-Jan-13,2110,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Serious,Male,39,Motorcycle over 50cc and up to 125cc
130015073,426062,439287,2,11-Jan-13,855,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,36,Car
130015073,426062,439287,2,11-Jan-13,855,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,41,Car
130015448,428638,436981,2,10-Jan-13,1145,B,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,45,Motorcycle over 50cc and up to 125cc
130015473,431905,435735,2,10-Jan-13,2015,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,32,Car
130015473,431905,435735,2,10-Jan-13,2015,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,44,Car
130015510,432274,438428,2,11-Jan-13,930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,36,Car
130016050,426869,427278,2,11-Jan-13,1740,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Serious,Male,32,M/cycle 50cc and under
130016089,427717,435890,3,11-Jan-13,1700,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,86,Car
130016089,427717,435890,3,11-Jan-13,1700,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,55,Car
130016089,427717,435890,3,11-Jan-13,1700,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,27,Car
130016089,427717,435890,3,11-Jan-13,1700,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,82,Car
130016089,427717,435890,3,11-Jan-13,1700,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,72,Car
130016242,430349,432102,2,11-Jan-13,2045,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,28,Car
130016386,424251,434478,2,11-Jan-13,2152,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,24,Car
130016396,426482,440266,1,11-Jan-13,2100,Unclassified,Wet / Damp,Darkness: no street lighting,Fog or mist – if hazard,1,Driver,Slight,Female,20,Car
130016942,435674,434803,2,12-Jan-13,1020,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,29,Car
130016942,435674,434803,2,12-Jan-13,1020,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,53,Car
130016942,435674,434803,2,12-Jan-13,1020,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,29,Car
130016991,425641,438022,2,11-Jan-13,1740,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,81,Car
130017024,434926,434618,1,12-Jan-13,1310,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,78,Bus or coach (17 or more passenger seats)
130017036,426830,438065,2,11-Jan-13,1810,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,19,Motorcycle over 50cc and up to 125cc
130017562,429327,440815,1,12-Jan-13,1725,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Serious,Female,82,Car
130017568,426496,433935,2,11-Jan-13,1639,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,24,Car
130017568,426496,433935,2,11-Jan-13,1639,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,35,Car
130017612,427548,438692,2,11-Jan-13,1610,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,38,Car
130017612,427548,438692,2,11-Jan-13,1610,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,39,Car
130017887,431197,431468,2,13-Jan-13,25,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,20,Car
130017887,431197,431468,2,13-Jan-13,25,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,26,Car
130017887,431197,431468,2,13-Jan-13,25,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Serious,Male,30,Car
130017887,431197,431468,2,13-Jan-13,25,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,21,Car
130017887,431197,431468,2,13-Jan-13,25,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,21,Car
130018198,435722,436933,3,13-Jan-13,1030,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,37,Car
130018198,435722,436933,3,13-Jan-13,1030,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,11,Car
130018198,435722,436933,3,13-Jan-13,1030,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,42,Car
130018328,437018,429229,5,13-Jan-13,1340,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,33,Car
130018640,429080,425470,2,13-Jan-13,1806,Unclassified,Wet / Damp,Darkness: street lights present and lit,Snowing without high winds,1,Driver,Serious,Male,19,Motorcycle over 50cc and up to 125cc
130018640,429080,425470,2,13-Jan-13,1806,Unclassified,Wet / Damp,Darkness: street lights present and lit,Snowing without high winds,3,Pedestrian,Slight,Female,41,Motorcycle over 50cc and up to 125cc
130018682,422992,437678,2,13-Jan-13,1615,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,26,Pedal cycle
130018709,436361,436312,1,13-Jan-13,1915,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Serious,Male,64,Car
130019031,426060,436363,2,14-Jan-13,720,Unclassified,Snow,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,58,Car
130019031,426060,436363,2,14-Jan-13,720,Unclassified,Snow,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,50,Minibus (8 – 16 passenger seats)
130019050,430839,433997,2,14-Jan-13,735,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Serious,Male,35,Pedal cycle
130019175,431007,439223,2,14-Jan-13,801,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,39,Car
130019175,431007,439223,2,14-Jan-13,801,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,14,Car
130019398,430693,432517,2,13-Jan-13,2015,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,27,Car
130019576,429978,436583,2,14-Jan-13,1150,A,Snow,Daylight: street lights present,Snowing without high winds,1,Driver,Slight,Male,35,Pedal cycle
130019897,431757,437049,1,14-Jan-13,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,18,Car
130020136,427632,431062,3,13-Jan-13,1645,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,22,Car
130020136,427632,431062,3,13-Jan-13,1645,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,46,Car
130020136,427632,431062,3,13-Jan-13,1645,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,22,Car
130021490,431759,435512,2,15-Jan-13,1655,A,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,27,Car
130031371,431481,435005,7,22-Jan-13,1430,Unclassified,Snow,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,21,Pedal cycle
130031371,431481,435005,7,22-Jan-13,1430,Unclassified,Snow,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,33,Car
130032117,424164,428142,2,21-Jan-13,1805,A,Frost / Ice,Darkness: street lighting unknown,Other,1,Driver,Slight,Male,26,Car
